Fechas,Almeria,Cadiz,Cordoba,Granada,Huelva,Jaen,Malaga,Sevilla
13/03/2020,13,18,14,15,4,23,73,21
14/03/2020,14,14,17,10,4,30,82,19
15/03/2020,13,25,29,34,6,41,83,42
16/03/2020,21,44,29,35,0,38,132,53
17/03/2020,23,53,50,57,7,42,175,64
18/03/2020,27,71,59,95,10,65,210,79
19/03/2020,30,69,75,103,8,54,255,84
20/03/2020,37,84,100,147,23,76,298,125
21/03/2020,40,99,106,176,21,73,303,154
22/03/2020,40,98,138,177,23,106,315,165
23/03/2020,49,125,137,188,28,131,307,194
24/03/2020,47,169,128,244,31,113,306,214
25/03/2020,60,190,150,291,34,135,348,256
26/03/2020,65,202,181,329,41,145,373,310
27/03/2020,69,225,183,341,43,171,420,354
28/03/2020,91,243,215,361,52,191,422,421
